"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"01.01.2025","3.000,90","3.116,11","3.130,72","2.996,55","0,02K","-3,70%"
"01.12.2024","3.116,28","3.137,28","3.146,68","2.867,22","0,02K","-0,67%"
"01.11.2024","3.137,33","3.204,85","3.209,50","3.130,62","0,01K","-2,11%"
"01.10.2024","3.204,84","3.305,98","3.309,66","3.162,97","","-3,06%"
"01.09.2024","3.305,97","3.393,55","3.396,84","3.290,99","","-2,58%"
"01.08.2024","3.393,55","3.364,78","3.396,13","3.336,77","","0,86%"
"01.07.2024","3.364,78","3.347,36","3.396,28","3.300,80","","0,52%"
"01.06.2024","3.347,33","3.382,34","3.385,03","3.294,68","0,01K","-1,04%"
"01.05.2024","3.382,34","3.381,79","3.399,32","3.361,61","","0,02%"
"01.04.2024","3.381,79","3.408,16","3.426,52","3.359,49","","-0,77%"
"01.03.2024","3.408,15","3.359,99","3.409,45","3.359,64","","1,43%"
"01.02.2024","3.360,00","3.333,51","3.363,65","3.317,51","","0,79%"
"01.01.2024","3.333,51","3.311,45","3.341,03","3.311,45","","0,67%"
"01.12.2023","3.311,43","3.176,56","3.314,39","3.169,40","","4,25%"
"01.11.2023","3.176,56","3.155,69","3.202,23","3.144,18","","0,66%"
"01.10.2023","3.155,70","3.219,29","3.221,45","3.140,23","","-1,97%"
"01.09.2023","3.219,28","3.212,80","3.242,90","3.190,77","","0,20%"
"01.08.2023","3.212,81","3.197,18","3.223,54","3.185,06","","0,49%"
"01.07.2023","3.197,18","3.155,32","3.197,83","3.147,99","","1,33%"
"01.06.2023","3.155,32","3.013,46","3.157,89","3.005,89","","4,71%"
"01.05.2023","3.013,46","2.858,23","3.015,18","2.856,16","","5,43%"
"01.04.2023","2.858,23","2.760,94","2.858,23","2.751,42","","3,52%"
"01.03.2023","2.760,96","2.808,40","2.824,56","2.732,35","","-1,69%"
"01.02.2023","2.808,39","2.821,14","2.829,40","2.774,40","","-0,45%"
"01.01.2023","2.821,14","2.867,12","2.870,77","2.807,57","","-1,60%"
"01.12.2022","2.867,13","2.867,21","2.900,16","2.759,79","","0,00%"
"01.11.2022","2.867,21","2.991,45","2.997,58","2.849,05","","-4,15%"
"01.10.2022","2.991,45","2.990,80","3.006,34","2.973,75","","0,02%"
"01.09.2022","2.990,80","2.976,23","2.997,47","2.965,06","","0,49%"
"01.08.2022","2.976,23","2.814,10","2.976,31","2.800,85","","5,76%"
"01.07.2022","2.814,10","2.795,62","2.814,12","2.770,22","","0,66%"
"01.06.2022","2.795,62","2.820,44","2.833,95","2.790,29","","-0,88%"
"01.05.2022","2.820,45","2.813,07","2.823,90","2.753,23","","0,26%"
"01.04.2022","2.813,06","2.779,97","2.815,93","2.779,97","","1,19%"
"01.03.2022","2.779,97","2.741,15","2.781,59","2.703,15","","1,42%"
"01.02.2022","2.741,15","2.776,92","2.783,96","2.698,48","","-1,29%"
"01.01.2022","2.776,92","2.804,78","2.819,02","2.750,40","","-0,99%"
"01.12.2021","2.804,79","2.578,40","2.806,60","2.578,39","","8,78%"
"01.11.2021","2.578,40","2.675,71","2.685,98","2.534,87","","-3,64%"
"01.10.2021","2.675,68","2.715,71","2.747,84","2.670,19","","-1,47%"
"01.09.2021","2.715,67","2.749,84","2.757,34","2.697,55","","-1,24%"
"01.08.2021","2.749,84","2.824,18","2.830,74","2.688,30","","-2,63%"
"01.07.2021","2.824,12","2.755,04","2.848,00","2.750,85","","2,51%"
"01.06.2021","2.754,89","2.817,11","2.837,32","2.644,25","","-2,19%"
"01.05.2021","2.816,46","2.861,26","2.865,11","2.786,67","","-1,56%"
"01.04.2021","2.861,15","2.846,77","2.862,52","2.839,00","","0,51%"
"01.03.2021","2.846,77","2.886,67","2.891,76","2.808,71","","-1,38%"
"01.02.2021","2.886,53","2.879,45","2.900,31","2.864,46","","0,25%"
"01.01.2021","2.879,45","2.870,15","2.880,69","2.851,01","","0,32%"
"01.12.2020","2.870,15","2.808,89","2.873,55","2.761,08","","2,19%"
"01.11.2020","2.808,56","2.766,76","2.813,55","2.766,55","","1,51%"
"01.10.2020","2.766,76","2.794,92","2.831,40","2.738,87","","-1,01%"
"01.09.2020","2.794,88","2.782,10","2.806,79","2.766,50","","0,46%"
"01.08.2020","2.782,10","2.733,22","2.787,29","2.710,95","","1,79%"
"01.07.2020","2.733,12","2.806,30","2.823,17","2.717,41","","-2,61%"
"01.06.2020","2.806,28","2.657,77","2.808,14","2.657,58","","5,59%"
"01.05.2020","2.657,68","2.603,55","2.658,83","2.533,78","","2,08%"
"01.04.2020","2.603,62","2.494,18","2.604,50","2.413,29","","4,39%"
"01.03.2020","2.494,10","2.963,81","3.008,86","1.883,17","","-15,85%"
"01.02.2020","2.963,81","3.077,32","3.078,70","2.941,22","","-3,69%"
"01.01.2020","3.077,28","3.197,57","3.263,66","3.067,87","","-3,76%"
"01.12.2019","3.197,58","2.890,26","3.200,16","2.887,81","","10,63%"
"01.11.2019","2.890,26","2.791,99","2.892,73","2.781,12","","3,52%"
"01.10.2019","2.791,98","2.684,29","2.792,03","2.672,93","","4,01%"
"01.09.2019","2.684,26","2.656,69","2.685,24","2.650,58","","1,04%"
"01.08.2019","2.656,69","2.659,55","2.662,07","2.617,51","","-0,11%"
"01.07.2019","2.659,55","2.625,95","2.660,67","2.616,51","","1,27%"
