"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"01.01.2025","780,61","758,26","792,95","733,53","0,02K","2,92%"
"01.12.2024","758,45","837,43","863,83","754,44","0,02K","-9,43%"
"01.11.2024","837,43","935,74","956,60","808,09","0,01K","-10,50%"
"01.10.2024","935,72","904,97","955,62","904,97","","3,40%"
"01.09.2024","904,93","932,69","991,83","898,18","","-2,97%"
"01.08.2024","932,66","880,96","971,91","855,12","","5,87%"
"01.07.2024","880,96","840,45","914,96","831,90","","4,82%"
"01.06.2024","840,45","831,67","866,25","801,90","0,01K","1,06%"
"01.05.2024","831,63","837,91","897,17","826,72","","-0,73%"
"01.04.2024","837,76","947,23","949,35","824,22","","-11,56%"
"01.03.2024","947,23","936,88","975,03","922,70","","1,10%"
"01.02.2024","936,91","925,25","942,98","873,17","","1,27%"
"01.01.2024","925,18","1.010,19","1.010,32","900,65","","-8,46%"
"01.12.2023","1.010,65","929,84","1.014,98","915,23","","8,69%"
"01.11.2023","929,88","809,66","936,99","808,03","","14,85%"
"01.10.2023","809,66","862,31","862,31","772,07","","-6,09%"
"01.09.2023","862,18","890,29","943,03","816,87","","-3,14%"
"01.08.2023","890,16","964,07","1.020,72","888,24","","-7,65%"
"01.07.2023","963,86","916,79","982,79","908,19","","5,15%"
"01.06.2023","916,68","836,18","932,01","834,85","","9,62%"
"01.05.2023","836,21","714,06","843,13","695,83","","17,11%"
"01.04.2023","714,05","668,25","729,37","650,72","","6,84%"
"01.03.2023","668,31","673,20","714,63","624,65","","-0,72%"
"01.02.2023","673,17","705,88","719,59","662,73","","-4,64%"
"01.01.2023","705,92","659,35","709,04","616,39","","7,05%"
"01.12.2022","659,41","686,56","695,77","593,24","","-3,97%"
"01.11.2022","686,67","823,07","849,04","627,58","","-16,57%"
"01.10.2022","823,04","805,58","867,67","755,14","","2,17%"
"01.09.2022","805,57","716,66","808,22","715,86","","12,40%"
"01.08.2022","716,67","669,75","771,24","663,96","","7,01%"
"01.07.2022","669,75","616,02","682,68","608,64","","8,73%"
"01.06.2022","615,98","701,02","708,06","606,89","","-12,13%"
"01.05.2022","700,98","733,82","753,54","675,21","","-4,47%"
"01.04.2022","733,76","785,92","816,63","713,38","","-6,62%"
"01.03.2022","785,82","743,30","816,62","663,27","","5,72%"
"01.02.2022","743,30","798,72","804,13","716,45","","-6,94%"
"01.01.2022","798,74","724,43","798,74","614,14","","10,28%"
"01.12.2021","724,26","680,45","757,64","661,99","","6,43%"
"01.11.2021","680,49","661,58","783,42","661,58","","2,86%"
"01.10.2021","661,56","753,55","799,07","643,51","","-12,21%"
"01.09.2021","753,55","842,74","850,01","751,53","","-10,58%"
"01.08.2021","842,74","920,10","945,26","807,96","","-8,37%"
"01.07.2021","919,70","978,82","1.009,94","918,83","","-6,03%"
"01.06.2021","978,71","1.012,82","1.090,93","957,25","","-3,35%"
"01.05.2021","1.012,65","945,28","1.019,71","942,86","","7,14%"
"01.04.2021","945,20","964,74","998,52","944,69","","-2,02%"
"01.03.2021","964,67","879,40","981,99","829,40","","9,74%"
"01.02.2021","879,07","978,46","1.053,81","873,55","","-10,11%"
"01.01.2021","977,92","1.052,03","1.058,90","946,44","","-7,03%"
"01.12.2020","1.051,82","1.006,22","1.111,94","1.006,22","","4,56%"
"01.11.2020","1.005,95","864,19","1.049,55","851,06","","16,47%"
"01.10.2020","863,71","885,71","1.010,43","852,76","","-2,48%"
"01.09.2020","885,71","962,76","1.012,11","862,22","","-8,01%"
"01.08.2020","962,80","1.045,92","1.085,23","957,82","","-7,91%"
"01.07.2020","1.045,54","975,25","1.127,93","975,09","","7,21%"
"01.06.2020","975,25","822,51","1.025,66","816,61","","18,56%"
"01.05.2020","822,57","813,29","873,80","654,07","","1,03%"
"01.04.2020","814,22","755,97","881,94","649,57","","7,49%"
"01.03.2020","757,48","1.289,36","1.370,58","595,44","","-41,27%"
"01.02.2020","1.289,77","1.442,41","1.511,03","1.228,18","","-10,58%"
"01.01.2020","1.442,44","1.389,11","1.527,90","1.387,17","","3,86%"
"01.12.2019","1.388,86","1.183,42","1.393,48","1.182,39","","17,43%"
"01.11.2019","1.182,68","1.159,65","1.201,73","1.138,97","","2,00%"
"01.10.2019","1.159,53","1.103,16","1.162,23","1.057,21","","5,14%"
"01.09.2019","1.102,81","1.095,80","1.117,62","1.008,40","","0,76%"
"01.08.2019","1.094,53","1.100,77","1.164,28","1.031,54","","-0,53%"
"01.07.2019","1.100,39","1.013,12","1.105,84","1.001,04","","8,61%"
"01.06.2019","1.013,12","881,87","1.014,00","870,91","","15,00%"
"01.05.2019","880,99","831,42","885,69","779,16","","5,97%"
"01.04.2019","831,39","817,80","833,77","767,22","","1,67%"
"01.03.2019","817,72","847,75","867,48","783,06","","-3,53%"
"01.02.2019","847,68","899,05","900,27","839,67","","-5,70%"
"01.01.2019","898,96","814,07","899,26","810,29","","10,43%"
"01.12.2018","814,08","764,28","814,67","749,29","","6,53%"
"01.11.2018","764,16","753,35","765,40","697,80","","1,42%"
"01.10.2018","753,44","611,44","763,29","599,49","","23,27%"
"01.09.2018","611,23","617,77","619,40","586,71","","-1,16%"
"01.08.2018","618,38","650,65","679,84","606,11","","-4,95%"
"01.07.2018","650,59","612,80","681,52","603,72","","6,15%"
"01.06.2018","612,87","645,12","663,41","572,65","","-4,94%"
"01.05.2018","644,72","710,33","710,33","631,66","","-9,27%"
"01.04.2018","710,59","752,77","752,90","691,05","","-5,62%"
"01.03.2018","752,89","759,93","771,41","732,78","","-0,88%"
"01.02.2018","759,59","790,13","803,13","733,97","","-3,86%"
"01.01.2018","790,06","760,96","805,52","753,45","","3,83%"
"01.12.2017","760,89","716,57","761,55","711,29","","6,17%"
"01.11.2017","716,67","728,19","745,50","696,33","","-1,58%"
"01.10.2017","728,18","771,35","805,00","728,17","","-5,56%"
"01.09.2017","771,07","743,29","824,09","733,15","","3,75%"
"01.08.2017","743,19","724,38","748,10","710,94","","2,59%"
"01.07.2017","724,41","658,88","726,86","650,68","","9,95%"
"01.06.2017","658,88","645,23","670,72","637,20","","2,12%"
"01.05.2017","645,23","713,81","752,62","614,26","","-9,61%"
"01.04.2017","713,81","700,14","721,98","691,70","","1,98%"
"01.03.2017","699,95","697,35","730,46","678,98","","0,39%"
"01.02.2017","697,22","672,25","729,81","672,25","","3,74%"
"01.01.2017","672,08","575,82","673,45","569,70","","16,50%"
"01.12.2016","576,88","568,41","577,09","532,90","","1,51%"
"01.11.2016","568,29","641,08","643,69","543,49","","-11,35%"
