"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"01.01.2025","5.456,48","5.527,23","5.539,15","5.212,39","0,02K","-1,28%"
"01.12.2024","5.527,17","5.874,10","6.095,73","5.513,87","0,02K","-5,91%"
"01.11.2024","5.874,10","5.753,66","5.967,63","5.577,50","0,01K","2,09%"
"01.10.2024","5.753,59","5.799,33","5.963,99","5.544,02","","-0,79%"
"01.09.2024","5.799,33","5.591,40","5.897,72","5.361,36","","3,72%"
"01.08.2024","5.591,40","5.532,81","5.670,43","5.206,41","","1,06%"
"01.07.2024","5.532,75","5.667,11","5.806,61","5.410,22","","-2,37%"
"01.06.2024","5.666,97","5.483,58","5.685,44","5.230,48","0,01K","3,34%"
"01.05.2024","5.483,65","5.704,08","5.941,04","5.471,95","","-3,86%"
"01.04.2024","5.704,06","6.015,93","6.110,10","5.675,59","","-5,18%"
"01.03.2024","6.015,78","5.819,47","6.057,13","5.683,53","","3,37%"
"01.02.2024","5.819,47","5.667,08","5.890,50","5.535,84","","2,69%"
"01.01.2024","5.667,14","6.273,23","6.288,55","5.600,19","","-9,67%"
"01.12.2023","6.273,51","5.862,00","6.274,70","5.702,59","","7,02%"
"01.11.2023","5.861,92","5.314,29","6.009,82","5.314,29","","10,31%"
"01.10.2023","5.313,90","5.605,56","5.622,72","5.189,59","","-5,21%"
"01.09.2023","5.605,75","5.518,87","5.746,58","5.425,58","","1,62%"
"01.08.2023","5.516,18","5.766,46","5.814,68","5.354,40","","-4,32%"
"01.07.2023","5.765,41","5.303,29","5.777,33","5.302,19","","8,78%"
"01.06.2023","5.300,12","5.169,28","5.678,32","5.163,51","","2,59%"
"01.05.2023","5.166,47","5.120,34","5.465,63","4.903,20","","0,90%"
"01.04.2023","5.120,35","5.316,36","5.477,80","4.893,10","","-3,69%"
"01.03.2023","5.316,77","5.701,44","5.932,45","5.107,28","","-6,73%"
"01.02.2023","5.700,21","6.184,61","6.184,86","5.587,51","","-7,83%"
"01.01.2023","6.184,78","5.810,38","6.281,94","5.750,00","","6,42%"
