Índice,Data de Referência,Número Índice,Variação Diária (%),Variação no Mês (%),Variação no Ano (%),Variação 12 Meses (%)
IDkA - Pré 3M,30/12/2005,"1,000.000000",,,,
IDkA - Pré 3M,02/01/2006,"1,000.710558",0.0711,0.0711,0.0711,
IDkA - Pré 3M,03/01/2006,"1,001.426516",0.0715,0.1427,0.1427,
IDkA - Pré 3M,04/01/2006,"1,002.243577",0.0816,0.2244,0.2244,
IDkA - Pré 3M,05/01/2006,"1,002.882549",0.0638,0.2883,0.2883,
IDkA - Pré 3M,06/01/2006,"1,003.563403",0.0679,0.3563,0.3563,
IDkA - Pré 3M,09/01/2006,"1,004.180880",0.0615,0.4181,0.4181,
IDkA - Pré 3M,10/01/2006,"1,004.974668",0.0790,0.4975,0.4975,
IDkA - Pré 3M,11/01/2006,"1,005.585310",0.0608,0.5585,0.5585,
IDkA - Pré 3M,12/01/2006,"1,006.314125",0.0725,0.6314,0.6314,
IDkA - Pré 3M,13/01/2006,"1,006.949804",0.0632,0.6950,0.6950,
IDkA - Pré 3M,16/01/2006,"1,007.656294",0.0702,0.7656,0.7656,
IDkA - Pré 3M,17/01/2006,"1,008.340293",0.0679,0.8340,0.8340,
IDkA - Pré 3M,18/01/2006,"1,008.927465",0.0582,0.8927,0.8927,
IDkA - Pré 3M,19/01/2006,"1,009.917239",0.0981,0.9917,0.9917,
IDkA - Pré 3M,20/01/2006,"1,010.583719",0.0660,1.0584,1.0584,
IDkA - Pré 3M,23/01/2006,"1,011.178475",0.0589,1.1178,1.1178,
IDkA - Pré 3M,24/01/2006,"1,011.808488",0.0623,1.1808,1.1808,
IDkA - Pré 3M,25/01/2006,"1,012.439179",0.0623,1.2439,1.2439,
IDkA - Pré 3M,26/01/2006,"1,013.091018",0.0644,1.3091,1.3091,
IDkA - Pré 3M,27/01/2006,"1,013.739811",0.0640,1.3740,1.3740,
IDkA - Pré 3M,30/01/2006,"1,014.405879",0.0657,1.4406,1.4406,
IDkA - Pré 3M,31/01/2006,"1,015.099239",0.0684,1.5099,1.5099,
IDkA - Pré 3M,01/02/2006,"1,015.749094",0.0640,0.0640,1.5749,
IDkA - Pré 3M,02/02/2006,"1,016.417699",0.0658,0.1299,1.6418,
IDkA - Pré 3M,03/02/2006,"1,017.066411",0.0638,0.1938,1.7066,
IDkA - Pré 3M,06/02/2006,"1,017.723812",0.0646,0.2586,1.7724,
IDkA - Pré 3M,07/02/2006,"1,018.312701",0.0579,0.3166,1.8313,
IDkA - Pré 3M,08/02/2006,"1,019.028693",0.0703,0.3871,1.9029,
IDkA - Pré 3M,09/02/2006,"1,019.657131",0.0617,0.4490,1.9657,
IDkA - Pré 3M,10/02/2006,"1,020.308324",0.0639,0.5132,2.0308,
IDkA - Pré 3M,13/02/2006,"1,020.985839",0.0664,0.5799,2.0986,
IDkA - Pré 3M,14/02/2006,"1,021.628926",0.0630,0.6433,2.1629,
IDkA - Pré 3M,15/02/2006,"1,022.285746",0.0643,0.7080,2.2286,
IDkA - Pré 3M,16/02/2006,"1,022.983556",0.0683,0.7767,2.2984,
IDkA - Pré 3M,17/02/2006,"1,023.713376",0.0713,0.8486,2.3713,
IDkA - Pré 3M,20/02/2006,"1,024.410666",0.0681,0.9173,2.4411,
IDkA - Pré 3M,21/02/2006,"1,025.072142",0.0646,0.9825,2.5072,
IDkA - Pré 3M,22/02/2006,"1,025.726909",0.0639,1.0470,2.5727,
IDkA - Pré 3M,23/02/2006,"1,026.389805",0.0646,1.1123,2.6390,
IDkA - Pré 3M,24/02/2006,"1,026.986383",0.0581,1.1710,2.6986,
IDkA - Pré 3M,01/03/2006,"1,027.729389",0.0723,0.0723,2.7729,
IDkA - Pré 3M,02/03/2006,"1,028.417438",0.0669,0.1393,2.8417,
IDkA - Pré 3M,03/03/2006,"1,029.068440",0.0633,0.2027,2.9068,
IDkA - Pré 3M,06/03/2006,"1,029.692916",0.0607,0.2635,2.9693,
IDkA - Pré 3M,07/03/2006,"1,030.243658",0.0535,0.3172,3.0244,
IDkA - Pré 3M,08/03/2006,"1,030.802334",0.0542,0.3716,3.0802,
IDkA - Pré 3M,09/03/2006,"1,031.636567",0.0809,0.4528,3.1637,
IDkA - Pré 3M,10/03/2006,"1,032.274877",0.0619,0.5150,3.2275,
IDkA - Pré 3M,13/03/2006,"1,032.918908",0.0624,0.5777,3.2919,
IDkA - Pré 3M,14/03/2006,"1,033.579524",0.0640,0.6420,3.3580,
IDkA - Pré 3M,15/03/2006,"1,034.292512",0.0690,0.7114,3.4293,
IDkA - Pré 3M,16/03/2006,"1,034.845832",0.0535,0.7653,3.4846,
IDkA - Pré 3M,17/03/2006,"1,035.429428",0.0564,0.8221,3.5429,
IDkA - Pré 3M,20/03/2006,"1,036.017598",0.0568,0.8794,3.6018,
IDkA - Pré 3M,21/03/2006,"1,036.561456",0.0525,0.9323,3.6561,
IDkA - Pré 3M,22/03/2006,"1,037.243682",0.0658,0.9988,3.7244,
IDkA - Pré 3M,23/03/2006,"1,037.838316",0.0573,1.0567,3.7838,
IDkA - Pré 3M,24/03/2006,"1,038.508166",0.0645,1.1219,3.8508,
IDkA - Pré 3M,27/03/2006,"1,039.137699",0.0606,1.1832,3.9138,
IDkA - Pré 3M,28/03/2006,"1,039.814042",0.0651,1.2491,3.9814,
IDkA - Pré 3M,29/03/2006,"1,040.410995",0.0574,1.3072,4.0411,
IDkA - Pré 3M,30/03/2006,"1,041.063452",0.0627,1.3707,4.1063,
IDkA - Pré 3M,31/03/2006,"1,041.733890",0.0644,1.4360,4.1734,
IDkA - Pré 3M,03/04/2006,"1,042.397685",0.0637,0.0637,4.2398,
IDkA - Pré 3M,04/04/2006,"1,043.082829",0.0657,0.1295,4.3083,
IDkA - Pré 3M,05/04/2006,"1,043.770595",0.0659,0.1955,4.3771,
IDkA - Pré 3M,06/04/2006,"1,044.401593",0.0605,0.2561,4.4402,
IDkA - Pré 3M,07/04/2006,"1,044.996173",0.0569,0.3132,4.4996,
IDkA - Pré 3M,10/04/2006,"1,045.623212",0.0600,0.3734,4.5623,
IDkA - Pré 3M,11/04/2006,"1,046.237507",0.0587,0.4323,4.6238,
IDkA - Pré 3M,12/04/2006,"1,046.959368",0.0690,0.5016,4.6959,
IDkA - Pré 3M,13/04/2006,"1,047.646961",0.0657,0.5676,4.7647,
IDkA - Pré 3M,17/04/2006,"1,048.265864",0.0591,0.6270,4.8266,
IDkA - Pré 3M,18/04/2006,"1,049.015583",0.0715,0.6990,4.9016,
IDkA - Pré 3M,19/04/2006,"1,049.659537",0.0614,0.7608,4.9660,
IDkA - Pré 3M,20/04/2006,"1,050.248604",0.0561,0.8174,5.0249,
IDkA - Pré 3M,24/04/2006,"1,050.772825",0.0499,0.8677,5.0773,
IDkA - Pré 3M,25/04/2006,"1,051.403149",0.0600,0.9282,5.1403,
IDkA - Pré 3M,26/04/2006,"1,052.085807",0.0649,0.9937,5.2086,
IDkA - Pré 3M,27/04/2006,"1,052.621478",0.0509,1.0451,5.2621,
IDkA - Pré 3M,28/04/2006,"1,053.242442",0.0590,1.1047,5.3242,
IDkA - Pré 3M,02/05/2006,"1,053.875070",0.0601,0.0601,5.3875,
IDkA - Pré 3M,03/05/2006,"1,054.461323",0.0556,0.1157,5.4461,
IDkA - Pré 3M,04/05/2006,"1,055.034281",0.0543,0.1701,5.5034,
IDkA - Pré 3M,05/05/2006,"1,055.610803",0.0546,0.2249,5.5611,
IDkA - Pré 3M,08/05/2006,"1,056.217473",0.0575,0.2825,5.6217,
IDkA - Pré 3M,09/05/2006,"1,056.873719",0.0621,0.3448,5.6874,
IDkA - Pré 3M,10/05/2006,"1,057.492804",0.0586,0.4036,5.7493,
IDkA - Pré 3M,11/05/2006,"1,058.077035",0.0552,0.4590,5.8077,
IDkA - Pré 3M,12/05/2006,"1,058.648399",0.0540,0.5133,5.8648,
IDkA - Pré 3M,15/05/2006,"1,059.222695",0.0542,0.5678,5.9223,
IDkA - Pré 3M,16/05/2006,"1,059.853992",0.0596,0.6277,5.9854,
IDkA - Pré 3M,17/05/2006,"1,060.425301",0.0539,0.6820,6.0425,
IDkA - Pré 3M,18/05/2006,"1,061.055335",0.0594,0.7418,6.1055,
IDkA - Pré 3M,19/05/2006,"1,061.648028",0.0559,0.7981,6.1648,
IDkA - Pré 3M,22/05/2006,"1,062.058991",0.0387,0.8371,6.2059,
IDkA - Pré 3M,23/05/2006,"1,062.591441",0.0501,0.8876,6.2591,
IDkA - Pré 3M,24/05/2006,"1,062.706774",0.0109,0.8986,6.2707,
IDkA - Pré 3M,25/05/2006,"1,063.675394",0.0911,0.9906,6.3675,
IDkA - Pré 3M,26/05/2006,"1,064.392146",0.0674,1.0586,6.4392,
IDkA - Pré 3M,29/05/2006,"1,064.902420",0.0479,1.1071,6.4902,
IDkA - Pré 3M,30/05/2006,"1,065.549406",0.0608,1.1685,6.5549,
IDkA - Pré 3M,31/05/2006,"1,066.418037",0.0815,1.2510,6.6418,
IDkA - Pré 3M,01/06/2006,"1,067.295351",0.0823,0.0823,6.7295,
IDkA - Pré 3M,02/06/2006,"1,067.892340",0.0559,0.1382,6.7892,
IDkA - Pré 3M,05/06/2006,"1,068.504175",0.0573,0.1956,6.8504,
IDkA - Pré 3M,06/06/2006,"1,069.096777",0.0555,0.2512,6.9097,
IDkA - Pré 3M,07/06/2006,"1,069.729692",0.0592,0.3105,6.9730,
IDkA - Pré 3M,08/06/2006,"1,070.426629",0.0652,0.3759,7.0427,
IDkA - Pré 3M,09/06/2006,"1,071.061524",0.0593,0.4354,7.1062,
IDkA - Pré 3M,12/06/2006,"1,071.680851",0.0578,0.4935,7.1681,
IDkA - Pré 3M,13/06/2006,"1,072.272883",0.0552,0.5490,7.2273,
IDkA - Pré 3M,14/06/2006,"1,072.839577",0.0528,0.6022,7.2840,
IDkA - Pré 3M,16/06/2006,"1,073.470715",0.0588,0.6613,7.3471,
IDkA - Pré 3M,19/06/2006,"1,074.043725",0.0534,0.7151,7.4044,
IDkA - Pré 3M,20/06/2006,"1,074.622251",0.0539,0.7693,7.4622,
IDkA - Pré 3M,21/06/2006,"1,075.248111",0.0582,0.8280,7.5248,
IDkA - Pré 3M,22/06/2006,"1,075.842552",0.0553,0.8838,7.5843,
IDkA - Pré 3M,23/06/2006,"1,076.425614",0.0542,0.9384,7.6426,
