ref.date,cambio_usd,cambio_eur,cambio_gbp,cambio_ars,cambio_jpy,juros_selic,juros_cdi,credito_agro,credito_industria_total,credito_construcao,credito_comercio,credito_transporte,credito_pessoa_fisica,spread_icc_juridica,spread_icc_fisica,veiculos_automoveis,veiculos_leves,veiculos_caminhoes,veiculos_onibus,consumo_gasolina,consumo_glp,consumo_oleo_combustivel,consumo_oleo_diesel,consumo_demais_derivados,consumo_alcool,consumo_eletricidade_comecial,consumo_eletricidade_residencial,consumo_eletricidade_industrial,consumo_eletricidade_outros,producao_bens_consumo,producao_bens_duraveis,producao_bens_nao_duraveis,producao_bens_capital,producao_transformacao,capacidade_instalada_industria,vendas_varejo,vendas_servicos,trab_caged,trab_pop_forca_trab,trab_pop_ocupada,trab_tx_desemprego,trab_hrs_trabalhadas_industria,trab_razao_vagas_desempregados,price_ipca,price_igp_m,price_ipc,price_incc,price_inpc,price_ipp,indice_commodity_agro,indice_commodity_metal,indice_commodity_energia,trab_menos_de_1_mes,trab_de_1_mes_a_menos_de_1_ano,trab_de_1_ano_a_menos_de_2_anos,trab_x2_anos_ou_mais,asset_MLCX,asset_ibrx100,asset_ifix,asset_ifnc,asset_imat,asset_imob,asset_indx,asset_smll,titulo_0_25ano,titulo_1ano,titulo_2ano,titulo_3ano,titulo_5ano,retorno_mensal
2013-01-01,2.0306409109722483,2.6945000005804975,3.2413782762444536,0.4104447831278262,0.022822173879198406,7.11,6.93,23618,618817,93691,257060,109073,1088275,8.05,18.79,230620,66232,12185,2421,541,212,121,904,126,313,7202,10925,14370,5870,115.5,151.8,107,111.2,110.2,83.1,94.35,92.55,39655691,97359,87200,7.3,108.7,5.579644859084588,0.86,0.34,1.01,0.65,0.92,-0.0998242327321264,136.07,149.25,67.17,1158.6430901408194,4233.007419758355,1054.9150026211364,1402.670267546684,0.002034443122056473,0.0022854720132035045,0.02569056910775802,0.014866147381111805,-0.03831277631915475,-0.019606132641266538,0.03355379275826187,0.003348120325098014,0.06641162525650018,0.07296590668340222,0.08035100070087746,0.08579080719088088,0.09240210647709712,0.006788894916429866
2013-02-01,1.972535002231598,2.6351550102233885,3.053090000152588,0.3937020003795624,0.02117499988526106,7.12,6.96,23534,628047,94316,258622,109586,1094775,8.02,19.03,171454,51024,9979,2630,537,218,102,961,122,334,7035,10475,14786,5705,105.2,130,99.4,116.5,103.1,82.3,84.64,88.62,39824539,97488,86859,7.8,106.8,5.2372703596392665,0.6,0.29,0.33,0.6,0.52,-0.350630545977504,131.05,144.98,66.37,1163.3093931030855,4245.709658996256,1056.4617712558893,1405.6492977091318,-0.030505446313459972,-0.02890856581869483,-0.009840372793971874,0.010333393059199558,-0.04539163378401123,-0.009231659029229844,-0.02947363390535196,0.0018524255802545575,0.07295968722100724,0.07951504152123438,0.0857663206915959,0.08994940054687127,0.0947345586909245,0.0054761091112001115
2013-03-01,1.9836545532399958,2.5660590908744116,2.987763621590354,0.38967999951405957,0.020916363478384235,7.15,6.99,24153,641038,96662,263758,110806,1108015,7.94,18.78,209347,58966,12344,3232,545,211,93,953,125,316,7147,10357,15148,5791,117.9,161.4,107.6,128.1,115.1,82.6,97.76,95.84,40007557,97554,86627,8.1,108.2,5.063046689937096,0.47,0.21,0.72,0.5,0.6,0.0401019256122348,129.9,137.22,66.81,1156.3559361651382,4240.762235413324,1055.9082437557672,1403.4126286461767,0.012334820213189213,0.006367652474990271,-0.011615390392269775,0.04171980943912823,-0.027246159269493697,-0.05305462628258395,-0.016251248470444235,-0.039453932830387894,0.07324767358884583,0.07992919741991766,0.08669004097887813,0.0913896405904719,0.09690795930673962,0.006256514103372357
2013-04-01,1.9974817850373008,2.601431824944236,3.057263645258817,0.3877322727983648,0.0204590910368345,7.26,7.1,24104,644274,97451,264353,112451,1124846,7.81,18.57,245798,70872,14053,2993,574,235,88,1036,124,329,7051,10302,15592,5709,125.4,171.1,114.6,135.3,120.4,83,90.32,96.95,40263782,97847,87004,7.9,111.5,5.20882731797887,0.55,0.15,0.52,0.74,0.59,0.404636010930681,128.12,129.79,68.08,868.4331107304668,4145.4729851144975,1045.7900069207951,1325.8880527229182,0.009226313611915726,0.007818174725105376,-0.019198135906592695,-0.028694029850746205,-0.010252153887518545,-0.024753414264036433,0.0030208002242451126,-0.002099332640262963,0.07842547307647614,0.08102999963515657,0.0850142584726864,0.08834512104161081,0.09268107361927015,0.0069942385501398086
2013-05-01,2.031463633884083,2.6357181830839678,3.1043590632351963,0.387710454789075,0.020119090818546036,7.42,7.25,24256,651212,99717,266333,115334,1143984,7.64,18.3,232001,68580,12714,2896,533,229,95,1000,123,354,6833,10242,15569,5701,127.1,166.6,117.8,129.4,123.8,82.5,96.89,97.91,40375006,98065,87427,7.7,107.8,5.346971164765485,0.37,0,0.32,2.25,0.35,0.241792158795362,128.79,127.62,68.41,873.5808331968585,4149.177661242833,1046.5364355560148,1328.32965528165,-0.006538761119993519,-0.008728482937039539,2.3240800516455273e-4,0.03369059966962462,-0.09078614792242456,-0.04464893513566082,-0.012293002636591277,-0.019841109811670754,0.0804094050936025,0.08365683982907793,0.08891890786081079,0.09340972025698291,0.09932556990965719,0.006693226496966798
2013-06-01,2.1622237932114374,2.8514523960295177,3.354852381206694,0.40595857160432,0.022192857272568204,7.9,7.72,24562,664872,100701,272497,117339,1160114,7.49,18.05,232630,70256,13084,2632,516,230,94,987,124,362,6595,10092,15326,5615,122.6,158.6,114.2,126.2,119.3,82.7,92.78,96.8,40533075,98242,87698,7.5,108.4,5.50111968404552,0.26,0.75,0.35,1.15,0.28,1.31932832144839,136.06,132.37,69.91,871.8783843843091,4144.178673835809,1045.1748133191113,1325.4180753555156,-0.09044298182268329,-0.09067255022009857,-0.07202974131254192,-0.10567489222536042,-0.062256834611812195,-0.0948200175592625,-0.04455129554621762,-0.09984228210930535,0.0859188081487962,0.094800062339017,0.1024213432719456,0.10715300735103121,0.11228311033904105,0.006407416891681006
2013-07-01,2.246969575467317,2.939995641293733,3.409291277761045,0.41292695377183997,0.02256217396453671,8.23,8.05,24289,664240,100860,269616,118825,1173994,7.35,17.85,250054,73863,15230,3144,530,245,55,1039,131,372,6454,10022,15490,5731,129.3,160.3,122,131.7,127.1,82.4,98.11,99.28,40606292,98363,87959,7.4,107.8,5.578659411320065,0.03,0.26,-0.17,0.48,-0.13,1.21278329689154,138.89,133.78,72.31,879.1591857447387,3873.945777139166,969.6186670072711,1182.2474070410608,0.018453616432451803,0.017373393243584,-0.007407355886935307,0.003080263458621557,0.07557454943410846,0.0015462685727940517,0.02405642750373671,0.004479317437342756,0.0875954569775011,0.09411113953774193,0.10156673529237314,0.1071217424865882,0.11394194382820938,0.0075138646340577875
2013-08-01,2.340414274306524,3.118604750860305,3.626704772313436,0.41958237971578327,0.023971428562487875,8.45,8.27,24799,672250,102154,272866,120563,1190495,7.27,17.67,241681,71007,13376,3111,546,245,55,1089,127,389,6601,10280,15886,5845,136.7,175.6,127.6,137.5,132.2,82.5,101.18,99.33,40768452,98311,88188,7.2,108.7,5.759564036577799,0.24,0.15,0.2,0.31,0.16,1.42708504125353,142.51,148.77,74.18,879.0890690722641,3882.0788224414287,971.103968067918,1185.4279990436187,0.018676080807181084,0.018659611461191217,-0.036514354184330466,0.006944264638105935,0.13082396883150338,-0.026456511670339244,0.046219228706992466,-0.01948308028333512,0.09216579507268861,0.10244426741191302,0.11158467441771937,0.11742095408730789,0.12389050413998558,0.007719292161825431
2013-09-01,2.2672454660589043,3.023959083990617,3.5942545478994194,0.3956477249210531,0.022855000062422318,8.9,8.72,24919,673201,103884,277161,119956,1202447,7.3,17.67,221394,72522,12969,2952,530,229,73,1055,124,390,6760,10251,15594,5920,132.8,168.3,124.4,134.3,126.6,82.2,95.66,98.93,41026120,98354,88388,7,107.1,5.958958746684715,0.35,1.5,0.3,0.43,0.27,0.574827881419093,139,144.31,74.86,879.2018501587899,3882.782708902664,970.9262829418416,1185.2756335749496,0.04951296039181807,0.04979989176939292,0.018858181818181885,0.08346875803548492,-0.004259681093394141,0.09448705380312572,0.01653145467916839,0.05198431421079919,0.0939676609845219,0.10117406229959619,0.10889734462002658,0.11446205588704164,0.12116383502191569,0.007712178365711697
2013-10-01,2.1838523773919967,2.9798772876912896,3.514509092677723,0.3740113634954799,0.022336363538422367,9.25,9.16,25122,671076,104947,280270,120391,1212482,7.19,17.5,238718,74754,13533,3182,555,239,83,1113,126,414,7071,10545,15787,5986,141.7,180.2,132.6,143.2,132.5,82.3,101.18,102.21,41156985,98283,88601,6.8,109.1,6.158234683635671,0.57,0.86,0.55,0.26,0.61,-0.446691298712665,134.81,140.85,73.11,829.8089796648751,3192.545697246984,996.1571286771917,1127.7790815628093,0.06057291666666664,0.05362282406178265,0.015825201830212743,0.07841019933026527,0.08971015487383616,-0.0034642640743961506,0.00578610977585492,-0.010837438423645374,0.09775039639137911,0.10514159148908896,0.11068223281547156,0.11372379808324477,0.1166786452429618,0.008959161114308944
